degree,major,cgpa,skills,job_role
Diploma,Journalism,6.88,"Copywriting, Editing, Research",Content Writer
B.Tech,Finance,9.17,"Electronics, Microcontrollers, Python, RTOS, Verilog",Embedded Systems Engineer
MBA,Mechanical,9.76," Deep Learning,  HTML,  REST APIs, Data Structures, Java, Linux, PyTorch, Python, SQL",Software Engineer
B.Tech,Mechanical,8.07,"Accounting, Excel, Finance, M&A",Investment Banker
B.Tech,Mathematics,8.46,"Azure, CI/CD, Kubernetes, SQL, Terraform",Cloud Engineer
B.Tech,Civil,5.94,"Circuit Design, Embedded Systems, PCB Design",Electrical Engineer
M.Tech,Civil,6.61,"Circuit Design, Embedded Systems, MATLAB, PCB Design, Power Systems, Teamwork",Electrical Engineer
B.Tech,Information Technology,7.5,"Cisco, Git, Linux, Network Monitoring, Switching, TCP/IP",Network Administrator
M.Tech,Mechanical,8.23," Python,  REST APIs,  TensorFlow, Algorithms, C++, Java, MongoDB, Python",Software Engineer
B.Sc,Pharmacy,6.51,"Clinical Knowledge, Drug Dispensing, Patient Counseling",Pharmacist
M.Com,Human Resources,8.5,"Employee Engagement, Labor Laws, Performance Management, Recruitment",Hr Manager
B.Com,Operations,6.85,"Accounting, Bloomberg, Excel, Financial Modeling, SQL, Valuation",Financial Analyst
B.Tech,AI & ML,7.02,"Communication, Experiment Design, LaTeX, Research Methods, Statistics",Research Scientist
M.Tech,Finance,8.95,"Communication, Excel, Financial Modeling, Git, Statistics",Financial Analyst
B.Tech,Electronics,7.9,"Linux, Routing, TCP/IP",Network Administrator
MBA,Electronics,6.68,"C, Microcontrollers, Verilog",Embedded Systems Engineer
Diploma,Animation,7.95,"C#, Excel, Shader Programming, Unity",Game Developer
MBA,Marketing,7.53,"Content Marketing, Google Analytics, SEO, SQL, Social Media",Digital Marketing Specialist
B.Sc,Information Technology,7.5,"AWS, Azure, CI/CD, Kubernetes, Linux",Cloud Engineer
LLB,Law,7.61,"Compliance, Contract Law, Drafting, Legal Research, Negotiation",Legal Advisor
B.Com,Marketing,8.24,"Accounting, Excel, Financial Modeling, Power BI, SQL, Valuation",Financial Analyst
B.Tech,Computer Science,6.82,"AWS, Azure, Excel, GCP, Kubernetes, Linux",Cloud Engineer
B.Sc,Statistics,8.14," SQL,  UML, Excel, Pandas, Power BI, Statistics",Data Analyst
B.Tech,Mechanical,7.02,"Project Management, Structural Analysis, Surveying",Civil Engineer
B.Sc,Computer Science,8.5,"Accounting, Excel, Python",Financial Analyst
M.Tech,Finance,8.01," Deep Learning,  Node.js, Algorithms, Data Structures, Java, M&A, Machine Learning, MongoDB, SQL",Software Engineer
B.Tech,Structural,9.01,"ANSYS, CAD, Manufacturing, Thermodynamics",Mechanical Engineer
Diploma,Graphic Design,6.39,"Content Strategy, Research, WordPress",Content Writer
M.Tech,Networking,6.65,"Firewall, Incident Response, Penetration Testing, Python",Cybersecurity Analyst
B.Tech,Mechanical,6.62,"Circuit Design, Embedded Systems, MATLAB, PCB Design, Power Systems, Problem Solving",Electrical Engineer
B.Tech,Electronics,9.55,"CAD, Materials, Mechanics, SolidWorks",Mechanical Engineer
M.Com,Marketing,8.36,"Communication, Employee Engagement, HR Policies, Labor Laws, Performance Management, Recruitment",Hr Manager
LLM,Law,7.68,"Compliance, Contract Law, Drafting, Legal Research, Negotiation, Problem Solving",Legal Advisor
MBA,Finance,6.39,"Lean, Operations Management, Supply Chain",Operations Manager
B.E.,Information Technology,6.86,"HTML, JavaScript, MongoDB, Node.js, REST APIs, React, SQL",Web Developer
B.Tech,Computer Science,8.65,"C, Python, Verilog",Embedded Systems Engineer
B.E.,Computer Science,7.07," Process Modeling,  Stakeholder Management, Pandas, Power BI, Python, Statistics, Tableau",Data Analyst
B.Des,Design,5.9,"Docker, Figma, Prototyping, Sketch, User Research",Ux/Ui Designer
BBA,Human Resources,7.37,"ERP, Lean, Operations Management, Problem Solving, Process Improvement, Six Sigma, Supply Chain",Operations Manager
B.Com,Finance,8.78,"Campaign Management, Communication, Market Research, SEO, Social Media",Marketing Executive
B.Sc,Electronics,8.4,"Linux, Network Monitoring, Switching, TCP/IP",Network Administrator
B.Sc,Statistics,7.84,"Performance Tuning, PostgreSQL, SQL",Database Administrator
B.Sc,Mathematics,7.1,"Backup & Recovery, MySQL, NoSQL, Performance Tuning, PostgreSQL",Database Administrator
Ph.D,Mathematics,8.26,"AWS, CI/CD, Docker, GCP, Kubernetes",Cloud Engineer
B.Tech,Computer Science,6.85,"Backup & Recovery, MySQL, Performance Tuning, PostgreSQL, SQL",Database Administrator
B.E.,Mathematics,7.89," Algorithms, Linux, Machine Learning, Model Deployment, PyTorch, TensorFlow",AI Engineer
B.Sc,Mechanical,8.18,"C, Electronics, Python, RTOS",Embedded Systems Engineer
Pharmacy,Pharmacy,6.94,"Clinical Knowledge, Drug Dispensing, Patient Counseling, Pharmacology, Regulatory Compliance",Pharmacist
B.A.,Marketing,7.47,"PPC, SEM, SEO",Digital Marketing Specialist
B.Tech,Electronics,7.5,"Cisco, Communication, Linux, Network Monitoring, Routing, Switching, TCP/IP",Network Administrator
B.Tech,Business Administration,6.96,"Agile, Linux, Metrics, Product Strategy, Roadmapping, User Stories",Product Manager
B.Sc,Civil,9.52,"Accounting, Finance, M&A, Valuation",Investment Banker
M.Des,Design,7.18,"Content Strategy, Copywriting, Editing, Excel, Research, SEO, WordPress",Content Writer
B.E.,Electronics,8.47,"Cisco, Excel, Linux, Routing, Switching, TCP/IP",Network Administrator
Diploma,Graphic Design,8.29,"Content Strategy, Copywriting, Editing, Research, SEO, WordPress",Content Writer
B.Com,Finance,6.27," Pandas,  Power BI, Communication, Process Modeling, Requirements Gathering, SQL, Stakeholder Management, UML",Business Analyst
B.Sc,Mechanical,7.24,"CNC, Lean Manufacturing, Matlab",Manufacturing Engineer
B.A. LL.B,Law,7.2,"Compliance, Contract Law, Drafting, Legal Research, Negotiation",Legal Advisor
MBA,Operations,7.47,"Campaign Management, Communication, Market Research, SEO, Social Media",Marketing Executive
M.Tech,Computer Science,6.82,"C, C++, Electronics, Microcontrollers, Python, Verilog",Embedded Systems Engineer
B.Com,Marketing,6.91," Data Visualization,  Linux, Linux, Process Modeling, Requirements Gathering, UML",Business Analyst
B.Tech,Information Technology,6.85,"Data Analysis, Experiment Design, LaTeX, Python, Research Methods, Statistics",Research Scientist
B.Sc,Business,6.1," Python,  React,  TensorFlow, Algorithms, C++, HTML, Java, SQL",Software Engineer
M.Sc,Information Technology,7.54," UML, Data Visualization, Excel, Pandas, Power BI, Python, SQL",Data Analyst
B.Com,Marketing,7.92,"Employee Engagement, Excel, HR Policies, Recruitment",Hr Manager
B.Sc,Design,6.61,"Content Strategy, Copywriting, Research, SEO",Content Writer
B.E.,Electrical,7.65,"AutoCAD, Construction, Problem Solving, Project Management, STAAD.Pro, Structural Analysis, Surveying",Civil Engineer
B.Tech,Information Technology,8.74,"HTML, MongoDB, React",Web Developer
B.Tech,Civil,7.16,"Excel, M&A, Valuation",Investment Banker
B.Tech,Mechanical,8.47," Problem Solving,  Teamwork,  TensorFlow, Algorithms, C++, Git, Java, MongoDB, Python",Software Engineer
M.Com,Marketing,7.31,"HR Policies, Labor Laws, Performance Management, Problem Solving, Recruitment",Hr Manager
B.A.,Journalism,7.04,"C#, Game Design, Shader Programming, Unreal Engine",Game Developer
B.Tech,Computer Science,8.84,"CAD, M&A, Materials, Matlab, SolidWorks",Mechanical Engineer
B.A.,Game Design,6.5,"3D Modeling, C#, Game Design, Unity",Game Developer
B.Tech,Information Technology,7.41," C++,  SQL, Communication, Deep Learning, Model Deployment, NLP, Python, TensorFlow",AI Engineer
MBA,Finance,7.64,"AutoCAD, Excel, SolidWorks",Manufacturing Engineer
B.E.,Mathematics,7.42,"Data Analysis, LaTeX, Research Methods, Statistics",Research Scientist
MBA,Civil,6.89," JavaScript,  NLP,  REST APIs, C, Data Structures, Git, Linux, Model Deployment, Python",Software Engineer
B.Tech,Mechanical,6.09,"Accounting, Communication, Excel, M&A, Valuation",Investment Banker
Diploma,Game Design,8.33,"Content Strategy, SEO, WordPress",Content Writer
B.E.,Electronics,7.59,"CSS, JavaScript, MongoDB, Node.js",Web Developer
B.Des,English,7.93,"3D Modeling, C#, C++, Unity, Unreal Engine",Game Developer
B.Com,Mass Communication,6.17,"Content Marketing, Google Analytics, SEM, SEO, Social Media",Digital Marketing Specialist
B.E.,Data Science,7.01,"Azure, GCP, Kubernetes, Linux",Cloud Engineer
B.Tech,Marketing,7.34," Excel, Process Modeling, Python, Requirements Gathering, SQL, Stakeholder Management, UML",Business Analyst
B.Des,Graphic Design,7.24,"Content Strategy, Copywriting, Editing, Research, SEO, WordPress",Content Writer
M.Sc,Statistics,8.04,"Data Analysis, Docker, Experiment Design, LaTeX, Python, Research Methods, Statistics",Research Scientist
M.Tech,Computer Science,8.31,"HTML, JavaScript, MongoDB, Node.js",Web Developer
B.Tech,Electrical,6.49,"AutoCAD, Project Management, STAAD.Pro, Surveying",Civil Engineer
M.Sc,Statistics,6.78,"Docker, GCP, Terraform",Cloud Engineer
B.A.,Game Design,7.19,"Adobe Photoshop, Docker, Figma, InDesign",Graphic Designer
B.Sc,Animation,7.61,"Prototyping, Sketch, User Research",Ux/Ui Designer
B.Com,Mass Communication,7.44,"Content Marketing, Google Analytics, PPC, SEM, SEO",Digital Marketing Specialist
M.Tech,Data Science,7.84,"Backup & Recovery, MySQL, NoSQL, Performance Tuning, PostgreSQL, SQL",Database Administrator
B.Com,Marketing,8.2," Power BI,  Tableau, Process Modeling, SQL, Stakeholder Management, UML",Business Analyst
M.Des,Animation,6.84,"Adobe Photoshop, Branding, Figma, Typography, UI Design",Graphic Designer
M.Tech,Mechanical,7.09,"AutoCAD, CAD, CNC, Lean Manufacturing, Matlab, SolidWorks",Manufacturing Engineer
B.Tech,Electronics,6.46,"C, C++, Electronics",Embedded Systems Engineer
B.Com,Operations,6.98," Pandas,  Python, Process Modeling, Requirements Gathering, SQL, Stakeholder Management",Business Analyst
BBA,Business Administration,8.05,"Bloomberg, Communication, Excel, Financial Modeling, Power BI, SQL, Valuation",Financial Analyst
B.Des,Design,7.13,"Figma, Prototyping, Usability Testing, Wireframing",Ux/Ui Designer
B.Sc,Pharmacy,6.91,"Drug Dispensing, Patient Counseling, Pharmacology, Regulatory Compliance",Pharmacist
Diploma,Animation,7.21,"Content Strategy, Copywriting, Editing, Research, WordPress",Content Writer
Diploma,Game Design,7.51,"Prototyping, Sketch, Usability Testing, User Research, Wireframing",Ux/Ui Designer
M.Com,Finance,6.09,"ERP, Process Improvement, Six Sigma, Supply Chain",Operations Manager
B.Tech,Operations,7.63,"Campaign Management, Communication, Market Research, SEO, Social Media",Marketing Executive
M.Sc,Mechanical,8.83,"AutoCAD, CNC, Excel, Lean Manufacturing, Matlab",Manufacturing Engineer
B.Sc,Data Science,7.28,"Experiment Design, LaTeX, Research Methods",Research Scientist
B.Sc,Graphic Design,6.27,"Prototyping, Usability Testing, User Research, Wireframing",Ux/Ui Designer
B.Tech,Data Science,7.63," Git, Deep Learning, Model Deployment, NLP, PyTorch, Python, Teamwork, TensorFlow",AI Engineer
B.Sc,Electronics,9.37,"Accounting, Communication, Excel, Statistics",Financial Analyst
B.E.,AI & ML,9.39,"Backup & Recovery, NoSQL, PostgreSQL",Database Administrator
B.Sc,Journalism,7.75,"3D Modeling, C++, Game Design, Shader Programming, Unity, Unreal Engine",Game Developer
Diploma,Graphic Design,6.46,"Figma, Illustrator, InDesign, Typography, UI Design",Graphic Designer
B.Tech,Statistics,5.66,"Data Analysis, Experiment Design, LaTeX, Statistics",Research Scientist
B.Tech,Electronics,8.05,"Accounting, Communication, Excel, M&A, Valuation",Investment Banker
B.Tech,Mathematics,7.12,"Backup & Recovery, Communication, MySQL, NoSQL, Performance Tuning, SQL",Database Administrator
MBA,Business,9.1,"C, C++, Microcontrollers, RTOS",Embedded Systems Engineer
B.Com,Marketing,7.95,"ERP, Operations Management, Process Improvement, Six Sigma, Supply Chain",Operations Manager
M.Com,Human Resources,7.34,"Employee Engagement, HR Policies, Labor Laws",Hr Manager
BBA,Human Resources,8.75,"ERP, Excel, Operations Management, Process Improvement, Six Sigma, Supply Chain",Operations Manager
BBA,Human Resources,7.25," Data Visualization,  Tableau, Process Modeling, Requirements Gathering, SQL, Stakeholder Management, UML",Business Analyst
B.Tech,Information Technology,9,"Backup & Recovery, NoSQL, Performance Tuning",Database Administrator
B.Tech,Computer Science,6.79,"Accounting, Communication, Excel, Financial Modeling, Python",Financial Analyst
M.Tech,Finance,6.14,"Matlab, Mechanics, Thermodynamics",Mechanical Engineer
MBA,Finance,6.14," Excel,  Statistics, Requirements Gathering, SQL, Stakeholder Management",Business Analyst
MBA,Journalism,8,"Content Marketing, Google Analytics, PPC, SEM, Social Media",Digital Marketing Specialist
B.Tech,Mechanical,6.65," Model Deployment,  MongoDB,  Node.js,  Problem Solving, C++, Data Structures, Git",Software Engineer
B.Com,Law,7.9,"Contract Law, Legal Research, Negotiation",Legal Advisor
BBA,Finance,6.67,"Campaign Management, Communication, Market Research, SEO, Social Media",Marketing Executive
B.Tech,Electronics,7.19,"CAD, Mechanics, SolidWorks",Mechanical Engineer
B.Tech,Finance,8.02,"Agile, Metrics, Product Strategy, SQL, User Stories",Product Manager
BBA,Human Resources,6.9,"ERP, Lean, Operations Management, Process Improvement, Six Sigma",Operations Manager
Diploma,Mechanical,6.68,"Circuit Design, Embedded Systems, MATLAB, PCB Design",Electrical Engineer
B.Tech,Computer Science,7.65,"AWS, GCP, Kubernetes, Problem Solving",Cloud Engineer
B.Com,Finance,7.49,"ERP, Lean, Process Improvement, Six Sigma, Supply Chain",Operations Manager
B.A.,Animation,5.72,"Content Strategy, Copywriting, Editing, Research, SEO, WordPress",Content Writer
M.Com,Operations,8.15,"Campaign Management, Market Research, SEO, Social Media",Marketing Executive
B.Com,Human Resources,8.39," Git,  Power BI, Process Modeling, Requirements Gathering, SQL, Stakeholder Management, UML",Business Analyst
M.Tech,Computer Science,6.74,"CAD, Materials, Matlab, Mechanics, Thermodynamics",Mechanical Engineer
B.Com,Business Administration,6.67," Statistics, Process Modeling, SQL, Tableau, UML",Business Analyst
M.Sc,Computer Science,6.78,"AutoCAD, CNC, Lean Manufacturing, Matlab, SolidWorks",Manufacturing Engineer
B.A. LL.B,Law,7.37,"Compliance, Contract Law, Drafting",Legal Advisor
B.Sc,Computer Science,8.65,"Backup & Recovery, MySQL, NoSQL, Performance Tuning, PostgreSQL",Database Administrator
B.Tech,Marketing,7.73,"Product Strategy, Stakeholder Management, User Stories",Product Manager
B.Tech,Computer Science,7.94,"C++, Electronics, Python",Embedded Systems Engineer
B.Sc,Finance,7.15,"Electronics, Linux, RTOS, Verilog",Embedded Systems Engineer
M.Sc,Mechanical,7.09,"C, Microcontrollers, Python, Verilog",Embedded Systems Engineer
B.Sc,English,7.71,"Figma, Prototyping, Sketch, Usability Testing, User Research, Wireframing",Ux/Ui Designer
B.Sc,Information Technology,7.34,"Incident Response, Penetration Testing, Python, SIEM",Cybersecurity Analyst
BBA,Operations,7.54,"Employee Engagement, HR Policies, Labor Laws, Problem Solving",Hr Manager
B.E.,Data Science,7.72,"Azure, GCP, Kubernetes, Linux, Terraform",Cloud Engineer
M.Com,Business Administration,7.17,"Accounting, Bloomberg, Financial Modeling, Valuation",Financial Analyst
Diploma,Information Technology,7.52,"CSS, Git, HTML, JavaScript, MongoDB, REST APIs, React",Web Developer
B.Tech,Civil,9.26,"Excel, Matlab, SolidWorks",Manufacturing Engineer
BBA,Operations,7.09,"Accounting, Bloomberg, Excel, Financial Modeling, Power BI, Valuation",Financial Analyst
BBA,Law,8.51,"Compliance, Contract Law, Legal Research, Negotiation",Legal Advisor
M.Tech,Computer Science,9.65,"Accounting, Communication, Finance, M&A, Valuation",Investment Banker
B.Sc,Pharmacy,8.26,"Clinical Knowledge, Drug Dispensing, Pharmacology, Regulatory Compliance",Pharmacist
B.Tech,Structural,7.03,"AutoCAD, Construction, Project Management, STAAD.Pro, Structural Analysis, Surveying",Civil Engineer
M.Sc,Finance,6.88,"Accounting, Communication, Python",Financial Analyst
B.A.,English,7.12,"Content Strategy, Copywriting, Editing, Research, SEO, WordPress",Content Writer
B.E.,Electronics,7.66,"CSS, JavaScript, Node.js, React",Web Developer
M.Sc,Civil,7.79,"Accounting, Financial Modeling, Python",Financial Analyst
BBA,Law,8.72,"Compliance, Contract Law, Docker, Drafting, Legal Research, Negotiation",Legal Advisor
Diploma,Electronics,9.08,"CSS, JavaScript, MongoDB, Node.js, REST APIs, React",Web Developer
MBA,Business Administration,7.06,"Content Marketing, Docker, PPC, SEO",Digital Marketing Specialist
B.E.,Data Science,6.6,"Data Analysis, Experiment Design, LaTeX, Python, Research Methods, Statistics",Research Scientist
B.Tech,Mathematics,7.1,"Data Analysis, Experiment Design, LaTeX, Python, Research Methods, Statistics",Research Scientist
M.Tech,Mechanical,9.68,"Materials, Mechanics, SolidWorks, Thermodynamics",Mechanical Engineer
M.Com,Marketing,7.01,"Campaign Management, Communication, Market Research, SEO, Social Media",Marketing Executive
B.Tech,AI & ML,6.33," Python, Deep Learning, Java, NLP, PyTorch, TensorFlow",AI Engineer
BBA,Human Resources,7.76," Statistics, Process Modeling, Requirements Gathering, SQL, Stakeholder Management, UML",Business Analyst
B.Des,Animation,7.57,"Content Strategy, Copywriting, Editing, Research, SEO, WordPress",Content Writer
B.E.,Computer Science,7.88,"Data Analysis, Experiment Design, LaTeX, Linux, Research Methods, Statistics",Research Scientist
B.Sc,Information Technology,6.97,"Azure, Docker, GCP, Kubernetes, Linux",Cloud Engineer
M.Tech,Business,6.04," CSS,  Deep Learning,  NLP, Algorithms, C++, Data Structures, Git, Java, React",Software Engineer
M.Tech,Civil,9.62," Deep Learning,  JavaScript, Algorithms, C++, Linux, MongoDB, Python, SQL",Software Engineer
MBA,Electronics,6.92,"AutoCAD, Excel, Lean Manufacturing, Matlab",Manufacturing Engineer
B.Sc,Data Science,6.19,"MySQL, NoSQL, PostgreSQL, SQL",Database Administrator
B.Com,Operations,7.24,"Campaign Management, Communication, Market Research, SEO, Social Media",Marketing Executive
MBA,Business Administration,7.36,"Content Marketing, PPC, SEM, SEO, Social Media, Teamwork",Digital Marketing Specialist
B.E.,Mechanical,7.74,"Circuit Design, Embedded Systems, MATLAB, PCB Design, Power Systems",Electrical Engineer
Ph.D,AI & ML,7.65,"AWS, Docker, GCP, Linux, Terraform",Cloud Engineer
B.Des,Game Design,8.49,"3D Modeling, Game Design, Unity",Game Developer
M.Tech,Computer Science,6.43,"Firewall, Incident Response, Network Security, Python, SIEM",Cybersecurity Analyst
B.Tech,Computer Science,9.59,"AutoCAD, CNC, Excel, Lean Manufacturing, SolidWorks",Manufacturing Engineer
M.Tech,Finance,9.71,"C, C++, Electronics, Verilog",Embedded Systems Engineer
BBA,Business Administration,7.9,"Campaign Management, Communication, Git, Market Research, SEO, Social Media",Marketing Executive
MBA,Business Administration,8.03,"Accounting, Bloomberg, Financial Modeling, SQL, Valuation",Financial Analyst
M.Sc,Mechanical,9.75," HTML,  Machine Learning,  Model Deployment,  Node.js, Algorithms, Git, Java",Software Engineer
M.Tech,Computer Science,6.96,"Excel, Firewall, Network Security, SIEM",Cybersecurity Analyst
B.E.,Mathematics,6.96,"MySQL, NoSQL, PostgreSQL, SQL",Database Administrator
B.Pharm,Pharmacy,7.17,"Drug Dispensing, Patient Counseling, Pharmacology, Regulatory Compliance",Pharmacist
M.Tech,Civil,7.77,"Communication, Excel, Financial Modeling, Materials, Python, Statistics",Financial Analyst
M.Tech,Information Technology,7.53," Docker,  Stakeholder Management, Pandas, Python, Tableau",Data Analyst
MBA,Finance,8.37,"Accounting, Financial Modeling, Power BI, SQL, Teamwork",Financial Analyst
M.Tech,Finance,6.96,"Materials, Matlab, Mechanics, SolidWorks, Thermodynamics",Mechanical Engineer
M.Com,Operations,6.39," Power BI, Process Modeling, Requirements Gathering, SQL, Stakeholder Management",Business Analyst
Pharmacy,Pharmacy,8.65,"Drug Dispensing, Pharmacology, Regulatory Compliance",Pharmacist
B.Tech,Civil,8.2,"Construction, Linux, Structural Analysis, Surveying",Civil Engineer
B.E.,Networking,8.59,"Cisco, Routing, TCP/IP",Network Administrator
B.Tech,Electrical,7.21,"Construction, Project Management, STAAD.Pro, Surveying",Civil Engineer
B.E.,Mathematics,7.11," Data Structures, Algorithms, Model Deployment, PyTorch, Python",AI Engineer
B.E.,Computer Science,7.06,"Backup & Recovery, Performance Tuning, SQL",Database Administrator
MBA,Business,9.48,"C, Microcontrollers, Python, Verilog",Embedded Systems Engineer
M.Sc,Civil,6.91,"CNC, Excel, Matlab",Manufacturing Engineer
B.Tech,Civil,8.68,"CAD, Git, MATLAB, Manufacturing, Thermodynamics",Mechanical Engineer
B.Tech,Business,8.1,"AutoCAD, CNC, Excel, Matlab",Manufacturing Engineer
B.Tech,Production,7.25,"AutoCAD, Construction, Project Management, Structural Analysis, Surveying",Civil Engineer
B.Sc,Pharmacy,6.88,"Clinical Knowledge, Drug Dispensing, Patient Counseling, Pharmacology, Regulatory Compliance",Pharmacist
MBA,Business Administration,8.28,"Accounting, Excel, Valuation",Financial Analyst
B.Sc,Design,7.36,"Content Strategy, Editing, Git, Research",Content Writer
B.Sc,Finance,6.61,"Electronics, Python, RTOS",Embedded Systems Engineer
MBA,Marketing,7.09,"Excel, Financial Modeling, SQL",Financial Analyst
MBA,Business Administration,6.96,"ERP, Lean, Operations Management, Process Improvement, Six Sigma, Supply Chain",Operations Manager
M.Com,Human Resources,7.4,"Excel, Metrics, Product Strategy, Roadmapping, User Stories",Product Manager
B.Sc,Electronics,7.51,"CSS, HTML, MongoDB, REST APIs, React, SQL",Web Developer
LLM,Law,7.48,"Compliance, Contract Law, Drafting, Negotiation",Legal Advisor
B.Sc,AI & ML,8.36," Algorithms, Deep Learning, Machine Learning, NLP, PyTorch, Python, TensorFlow",AI Engineer
B.Tech,Statistics,7.06,"Data Analysis, Experiment Design, LaTeX, Python, Research Methods",Research Scientist
Diploma,Civil,6.42,"Circuit Design, Embedded Systems, MATLAB, PCB Design, Power Systems",Electrical Engineer
BBA,Human Resources,7.13,"Employee Engagement, Excel, HR Policies, Labor Laws, Performance Management",Hr Manager
B.Tech,Business,9.02,"C, C++, Excel, Microcontrollers, RTOS, Verilog",Embedded Systems Engineer
B.Com,Finance,6.21,"Excel, Power BI, SQL",Financial Analyst
MBA,Electronics,6.78,"CAD, Materials, Mechanics, SolidWorks, Thermodynamics",Mechanical Engineer
M.Sc,Data Science,7.96,"Data Analysis, LaTeX, Research Methods, Statistics",Research Scientist
B.Sc,Pharmacy,6.13,"Clinical Knowledge, Drug Dispensing, Patient Counseling",Pharmacist
LLM,Law,6.77,"Communication, Compliance, Drafting, Negotiation",Legal Advisor
B.Tech,Finance,9.1,"Lean, Six Sigma, Supply Chain",Operations Manager
M.Tech,Business,9.28,"AutoCAD, Matlab, SolidWorks",Manufacturing Engineer
Diploma,Information Technology,6.72,"HTML, JavaScript, REST APIs",Web Developer
B.Com,Business Administration,6.97,"Bloomberg, Excel, Git, Power BI, SQL, Valuation",Financial Analyst
B.Tech,Finance,7.85,"Campaign Management, Communication, Market Research, Social Media",Marketing Executive
B.Tech,Business,6.77,"CAD, Materials, Matlab, Mechanics, SolidWorks",Mechanical Engineer
B.Tech,Electrical,7.24,"ANSYS, CAD, MATLAB, Manufacturing, SolidWorks, Thermodynamics",Mechanical Engineer
B.E.,Mechanical,6.88,"ANSYS, CAD, MATLAB, Manufacturing, SolidWorks, Thermodynamics",Mechanical Engineer
B.Des,Graphic Design,6.9,"C#, Game Design, Unreal Engine",Game Developer
M.Tech,Mechanical,6.28,"ANSYS, CAD, Manufacturing, SolidWorks, Thermodynamics",Mechanical Engineer
